E0,omega0,cutoff_order,plateau_intensity_mean,H5_intensity,H11_intensity,H21_intensity
0.08640158089907514,0.05457350280226459,80,-11.003327051209252,-17.368985618433005,-19.52652335802694,-8.468830356083132
0.08208278079972604,0.06400535585736812,68,-10.861729929146579,-17.27489372887497,-19.331485406280258,-11.001880129442098
0.05932537281546374,0.040574974283726126,108,-11.553678465689964,-17.953002142167694,-20.172020011344923,-20.87838273214112
0.057322754594739456,0.05629749557099036,78,-11.158958515806034,-17.696619344787255,-19.769626356243226,-10.597868054769162
0.0618752964944242,0.06282657638896375,69,-10.97614863264856,-17.53371840307597,-19.46385315776771,-11.136934750293829
0.07284010162623467,0.04209266112990396,104,-11.38457950195803,-17.742945601212018,-19.976302653586625,-20.911362453010405
0.06310257031571326,0.055665834413635054,78,-11.099204077189397,-17.62342007109893,-19.732100133334953,-8.669879975581445
0.06415823441652026,0.055096727985262016,79,-11.107037158231854,-17.618100627569497,-19.725700169740005,-8.687067070316349
0.08176907014562296,0.05552287816323749,78,-10.984866961267327,-17.40233669974247,-19.611043747834636,-8.509146145872252
0.09194501577084434,0.06590698527409529,66,-10.805814857355386,-17.149365753603256,-19.053173483636147,-10.959864477438625
0.07365907170603431,0.06451480303367078,67,-10.880489493334425,-17.362690389962353,-19.506364276802078,-11.16270129338495
0.06960180208740736,0.05509409307486239,79,-11.05640078387206,-17.547306908361602,-19.645222444819797,-8.613420088711736
0.0636342261415569,0.06614254113473095,66,-10.908244241304574,-17.468240572543035,-19.60866224214912,-11.768438311843413
0.08952474160804506,0.040442268134939126,109,-11.384528293385282,-17.598503063194503,-19.825926173717466,-20.45822376792975
0.0625670588428697,0.04492024933878385,98,-11.413919700557146,-17.81862518439851,-20.05151651163535,-20.112560526320856
0.06237103836593095,0.061558085260560606,70,-10.98701469053509,-17.54785418685034,-19.714118130560507,-11.389064992865787
0.0654900963194525,0.050814091785215544,86,-11.203287670456138,-17.672233834016314,-19.89033673746379,-16.094994248874002
0.052179586381224725,0.05445711808924552,80,-11.265659680197816,-17.80969494119674,-20.03346179178192,-8.704337158222188
0.09708748616961108,0.04733917918866057,94,-11.223059442107505,-17.39142728034359,-19.597998457483342,-17.95367270992336
0.06456716720101165,0.06838246685386101,61,-10.837312479862087,-17.421921093182114,-19.077579732296932,-11.452875697377438
0.09743739527879067,0.06115426887321429,70,-10.901796558793544,-17.1650924275587,-19.281488155348274,-10.955563150971868
